x	y
63	60
63	113
63	180
63	225
63	275
63	375
63	413
63	463
63	513
63	563
63	663
63	700
63	750
63	850
63	890
63	938
125	60
125	180
125	275
125	325
125	375
125	463
125	563
125	613
125	663
125	750
125	800
125	850
125	938
175	60
175	180
175	275
175	463
175	663
175	850
175	938
238	60
238	113
238	180
238	225
238	275
238	325
238	375
238	413
238	463
238	513
238	563
238	613
238	663
238	663
238	700
238	750
238	800
238	850
238	890
238	938
288	60
288	180
288	375
288	663
288	750
288	938
338	60
338	180
338	225
338	275
338	375
338	413
338	463
338	513
338	563
338	613
338	663
338	750
338	800
338	850
338	938
388	60
388	180
388	275
388	375
388	563
388	663
388	750
388	850
388	938
438	60
438	113
438	180
438	275
438	325
438	375
438	663
438	700
438	750
438	850
438	890
438	938
500	113
500	375
500	663
500	938
550	60
550	113
550	180
550	275
550	325
550	375
550	663
550	700
550	750
550	850
550	890
550	938
600	60
600	180
600	275
600	375
600	563
600	663
600	750
600	850
600	938
663	60
663	180
663	225
663	275
663	375
663	413
663	463
663	513
663	563
663	613
663	663
663	750
663	800
663	850
663	938
713	60
713	180
713	375
713	663
713	750
713	938
763	60
763	113
763	180
763	225
763	275
763	325
763	375
763	413
763	463
763	513
763	563
763	613
763	663
763	700
763	750
763	800
763	850
763	890
763	938
825	60
825	180
825	275
825	463
825	663
825	850
825	938
888	60
888	180
888	275
888	325
888	375
888	463
888	563
888	613
888	663
888	750
888	800
888	850
888	938
938	60
938	113
938	180
938	225
938	275
938	375
938	413
938	463
938	513
938	563
938	663
938	700
938	750
938	850
938	890
938	938
