ul.x	ul.y	lr.x	lr.y
0	0	30	1000
0	970	1000	1000
970	0	1000	1000
0	0	1000	30
94	95	200	150
94	213	200	238
170	310	200	425
94	400	200	425
170	500	200	625
94	500	200	525
170	688	200	813
94	688	200	720
94	875	200	905
275	95	400	150
275	213	300	335
275	310	400	335
275	400	300	625
275	688	400	720
275	785	300	905
275	875	400	905
475	150	513	335
375	213	625	238
375	600	625	625
475	688	513	905
375	785	623	813
588	95	720	150
700	213	725	335
588	310	725	335
700	400	725	625
588	688	725	720
700	785	725	905
588	875	725	905
800	95	900	150
800	215	900	238
800	310	838	425
800	400	900	425
800	500	838	625
800	500	900	525
800	688	838	813
800	688	900	720
800	875	900	905
0	310	88	335
0	600	88	625
0	785	88	813
913	310	1000	335
913	600	1000	625
913	785	1000	813
375	513	625	525
375	400	400	525
600	400	625	525
375	400	450	413
550	400	613	413
475	0	513	85
